Station,lat,lon
"Naharlagun, Naharlagun, India",27.103358,93.679645
"Devaraj Urs Badavane, Davanagere, India",14.4758,75.9052
"Vinoba Nagara, Shivamogga, India",13.94,75.555917
"Urban, Chamarajanagar, India",11.55358,76.55521
"Tamaka Ind. Area, Kolar, India",13.1276288,78.1570122
"Diwator Nagar, Koppal, India",15.34763,76.181767
"Anthoni Pillai Nagar, Gummidipoondi, India",13.4127,80.1081
"Panchal Nagar, Gadag, India",15.411456,75.638133
"Jawahar Nagar, Puducherry, India",11.9309,79.8027
"Chikkaballapur Rural, Chikkaballapur, India",13.428828,77.731418
"Kalyana Nagara, Chikkamagaluru, India",13.328028,75.797056
"Deshpande Nagar, Hubballi, India",15.351773,75.140726
"Hebbal 1st Stage, Mysuru, India",12.3511441,76.6249171
"Stuart Hill, Madikeri, India",12.415911,75.73505
"Vidayagiri, Bagalkot, India",16.172806,75.659694
"Haji Colony, Raichur, India",16.208139,77.348417
"Ibrahimpur, Vijayapura, India",16.802639,75.722694
"Kodungaiyur, Chennai, Chennai, India",13.1278,80.2642
"Tirumala-APPCB, Tirupati, India",13.672986,79.351217
"Thavakkara, Kannur, India",11.875,75.3732
"B.Katihalli, Hassan, India",13.008556,76.125258
"Vijay Nagar, Ramanagara, India",12.733409,77.298051
"Polayathode, Kollam, India",8.8787,76.6073
"Ashok Nagar, Udaipur, India",24.5876534,73.6974682
"BWSSB Kadabesanahalli, Bengaluru, India",12.93890556,77.69727222
"Collector Office, Yadgir, India",16.7602,77.1428
"Solapur, Solapur, India",17.6599188,75.9063906
"Kadri, Mangalore, India",12.88925,74.853
"Sikulpuikawn, Aizawl, India",23.7176342,92.7192841
"PWD Juction, Kohima, India",25.6635413,94.0989878
"Lal Bahadur Shastri Nagar, Kalaburagi, India",17.320057,76.820889
"Corporation Ground, Thrissur, India",10.5324,76.2159
"Indira Colony Vistar, Pali, India",25.7731026,73.3502377
"SIDCO Kurichi, Coimbatore, India",10.942451,76.978996
"Alandur Bus Depot, Chennai, Chennai, India",12.99711389,80.19151667
"More Chowk, Waluj, Aurangabad, India",19.840204,75.244935
"Civil Lines, Ajmer, India",26.470859,74.646594
"Collectorate, Jodhpur, India",26.268249,73.0193853
"Sector-D Industrial Area, Mandideep, India",23.10844,77.511428
"IIPHG Lekawada, Gandhinagar, India",23.243639,72.68994
"MIDC Khutala, Chandrapur, India",19.9756764,79.2422956
"Deen Dayal Nagar, Sagar, India",23.8640158,78.80289321
"Kariavattom, Thiruvananthapuram, India",8.5637,76.8865
"Gangapur Road, Nashik, India",20.0073285,73.7762427
"Shasthri Nagar, Ratlam, India",23.331731,75.045981
"Borivali East MPCB, Mumbai, India",19.13276,72.52048
"Marhatal, Jabalpur, India",23.168606,79.932247
"Shrivastav Colony, Damoh, India",23.81748678,79.446246
"Khindipada-Bhandup West, Mumbai, India",19.09918,72.55339
"Shrinath Puram, Kota, India",25.1438895,75.8212555
"T T Nagar, Bhopal, India",23.233584,77.400574
"Secretariat, Amaravati, India",16.514871,80.5154505
"Chhoti Gwaltoli, Indore, India",22.719444,75.870278
"Mahakaleshwar Temple, Ujjain, India",23.182719,75.768218
"Bhopal Chauraha, Dewas, India",22.9682591,76.064118
"Manali Village, Chennai, Chennai, India",11.258244,77.552429
"GIDC, Nandesari, India",22.410802,73.097923
"Gole Bazar, Katni, India",23.833778,80.391222
"Bandhavgar Colony, Satna, India",24.58434363,80.8549414
"Anand Kala Kshetram, Rajamahendravaram, India",16.9872867,81.7363176
"Sector-2 Industrial Area, Pithampur, India",22.624758,75.675238
"Rakhial, Ahmedabad, India",23.016834,72.625775
"Sahilara, Maihar, India",24.2613009,80.7231783
"GM Office, Brajrajnagar, India",21.8004996,83.8396977
"Sidhu Kanhu Indoor Stadium, Durgapur, India",23.5204443,87.3119227
"Talcher Coalfields, Talcher, India",20.9360711,85.1707021
"SAC ISRO Bopal, Ahmedabad, India",23.041137,72.456691
"Tata Stadium, Jorapokhar, India",23.7082799,86.4127228
"Asansol Court Area, Asansol, India",23.6871984,86.9461361
"Moti Doongri, Alwar, India",27.5515817,76.6080554
"Railway Colony, Guwahati, India",26.1445,91.7362
"GVM Corporation, Visakhapatnam, India",17.72,83.3
"Vyttila, Kochi, India",9.969447,76.321186
"Mangala, Bilaspur, India",22.08815,82.13737
"Adarsh Nagar, Jaipur, India",26.9005959,75.8252787
"GIDC, Ankleshwar, India",21.613267,73.010555
"ICRISAT Patancheru, Hyderabad, India",17.514423,78.274611
"Zoo Park, Bahadurpura West, Hyderabad, India",17.349694,78.451437
"City Center, Gwalior, India",26.203442,78.193251
"Hyderabad US Consulate, India (हैदराबाद अमेरिकी वाणिज्य दूतावास)",17.38405,78.45636
"Borivali East, Mumbai, India",19.2243333,72.8658113
"Khadakpada, Kalyan, India",19.25292,73.142019
"General Hospital, Mandikhera, India",27.9002,76.9938
"Municipal Corporation Office, Dharuhera, India",28.2068,76.7997
"Opp GPO Civil Lines, Nagpur, India",21.152875,79.0517531
"Phase-1 GIDC, Vapi, India",20.362421,72.918013
"Omex Eternity, Vrindavan, India",27.571409,77.655757
"Kunjaban, Agartala, India",23.8628276,91.2887362
"Mariam Nagar, Purnia, India",25.366336,87.117468
"Shastri Nagar, Narnaul, India",28.060249,76.113115
"Kamalnath Nagar, Bettiah, India",26.80365,84.51954
"Mazgaon, Mumbai, India",18.96702,72.84214
"Ratanpura, Rupnagar, India",31.0325454,76.5623046
"Gandak Colony, Motihari, India",26.63086,84.90051
"Kukrail Picnic Spot-1, Lucknow, India",26.90723,80.98579
"Town Hall, Munger, India",25.376776,86.471523
"Muzaffarpur Collectorate, Muzaffarpur, India",26.0762,85.4115
"MIT-Daudpur Kothi, Muzaffarpur, India",26.1403345,85.3650192
"Town Hall - Lal Bagh, Darbhanga, India",26.15146,85.89342
"Huda Sector, Fatehabad, India",29.503664,75.467934
"Police Line, Saharsa, India",25.892357,86.590325
"Mirchaibari, Katihar, India",25.560083,87.553265
"MD University, Rohtak, India",28.52123,76.37138
"Powai, Mumbai, India",19.1375,72.915056
"Palayam, Kozhikode, India",11.249077,75.784371
"Patti Mehar, Ambala, India",30.379589,76.778328
"Nagla Bhau, Firozabad, India",27.168897,78.37696
"Sector-7, Kurukshetra, India",29.966942,76.875879
"Darshan Nagar, Chhapra, India",25.7808257,84.7446768
"Dada Peer, Sasaram, India",24.952822,84.002396
"H.B. Colony, Bhiwani, India",28.806223,76.141105
"Rajbagh, Srinagar, India",34.066206,74.81982
"Kareemganj, Gaya, India",24.792403,84.992416
"IGSC Planetarium Complex, Patna, India",25.3636,85.0755
"Dangi Tola, Rajgir, India",25.0328,85.41948
"SDM Office_Khagra, Kishanganj, India",26.0881305,87.93840336
"Rajbansi Nagar, Patna, India",25.599486,85.113666
"Ward-32 Bapupara, Siliguri, India",26.6922399,88.4158141
"Central Jail, Buxar, India",25.555605,83.950942
"Police Lines, Jind, India",29.307814,76.337619
"F-Block, Sirsa, India",29.5364,75.0158
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",26.730136,83.433859
"Vikas Sadan Gurgaon, Gurgaon, India",28.4501285,77.0263051
"Model Town, Patiala, India",30.349388,76.366642
"Rishi Nagar, Kaithal, India",29.0002662,76.9997466
"Sector-12, Karnal, India",29.6953,77.0027
"Sector 22, Chandigarh, India",30.735567,76.775714
"Kharahiya Basti, Araria, India",26.146529,87.454184
"Urban Estate-II, Hisar, India",29.14056,75.744941
"Ghusuri, Howrah, India",22.611968,88.347422
"RIMT University, Mandi Gobindgarh, India",30.6510104,76.329252
"Jigar Colony, Moradabad, India",28.856664,78.772638
"Lalbagh, West Lucknow, Lucknow, India",26.84578611,80.93874444
"FTI Kidwai Nagar, Kanpur, India",26.428282,80.327067
"New Mandi, Muzaffarnagar, India",29.4723508,77.7194031
"Nagar Nigam, Prayagraj, India",25.44919916,81.82735986
"D M Colony, Bihar Sharif, India",25.204762,85.51496
"Sector-3B Avas Vikas Colony, Agra, India",27.19412,77.96237
"Ganga Nagar, Meerut, India",28.999264,77.7590354
"Punjab Agricultural University, Ludhiana, India",30.9019147,75.8077749
"Hardev Nagar, Bathinda, India",30.233011,74.907758
"Jhunsi, Prayagraj, India",25.425602,81.917152
"Anand Vihar, Hapur, India",28.725645,77.749675
"Maldahiya, Varanasi, India",25.32393,82.99687
"Arya Nagar, Bahadurgarh, India",28.6701,76.9254
"Civil Line, Jalandhar, India",31.321907,75.578914
"Teri Gram, Gurugram, India",28.4275,77.1465
"Deonar, Mumbai, India",19.04946,72.923
"Haldia, Haldia, India",22.06047,88.109737
"Golden Temple, Amritsar, India",31.6199803,74.8764849
"Nathu Colony, Ballabgarh, India",28.3419248,77.319699
"Yamunapuram, Bulandshahr, India",28.406963,77.849831
"Anand Vihar, Delhi, Delhi, India",28.645892,77.314853
